ticker,name_en,name_zh,exchange,sector,last_verified,source
JOBY.US,Joby Aviation,Joby,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
KN.US,Knowles Cor,Knowles,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
KRMN.US,Karman Holdings,卡曼太空与防务,NYSE,Aerospace & Defense,2026-06-12,eodhd+web
KTOS.US,Kratos Defense & Security Solutions,Kratos,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
KYOCY.US,Kyocera Corporation ADR,京瓷Kyocera ADR,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
LAZR.US,Luminar Technologies Inc,Luminar(已实质清盘),US,Common Stock,2026-06-05,manual 2026-06-05
LITE.US,Lumentum Holdings Inc,Lumentum,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
LPL.US,Lalpir Power Ltd,LG Display,KAR,Common Stock,2026-06-05,EODHD init batch 2026-06-05
LUNR.US,Intuitive Machines,直觉机器,NASDAQ,Aerospace & Defense,2026-06-12,eodhd+web
MBLY.US,Mobileye Global Inc. Class A Common Stock,Mobileye,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
MDB.US,MongoDB,MongoDB,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
META.US,Meta Platforms Inc.,Meta,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
MNDY.US,Monday.Com Ltd,monday.com,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
MOG-A.US,Moog Inc Class A,穆格,NYSE,Aerospace & Defense,2026-06-12,eodhd+web
MPWR.US,Monolithic Power Systems Inc,MPWR,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
MRAAY.US,Murata Manufacturing Inc,村田Murata ADR,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
MRCY.US,Mercury Systems Inc,Mercury Systems,US,Common Stock,2026-06-16,EODHD search
MSFT.US,Microsoft Corporation,Microsoft,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
MTRN.US,Materion Corp,Materion,TA,Common Stock,2026-06-05,manual fix 2026-06-16 (init 误配 Maytronics 泳池机器人)
MTSI.US,MACOM Technology Solutions,MACOM技术,NASDAQ,Semiconductors,2026-06-12,eodhd+web
MU.US,Micron Technology Inc,Micron,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
MXL.US,MaxLinear Inc,MaxLinear,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
NBIS.US,Nebius Group N.V.,Nebius,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
NET.US,Cloudflare Inc,Cloudflare,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
NICE.US,Nice Ltd,NICE Ltd,TA,Common Stock,2026-06-05,EODHD init batch 2026-06-05
NOVT.US,Novanta Inc,Novanta,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
NOW.US,ServiceNow Inc,ServiceNow,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
NTAP.US,NetApp Inc,NetApp,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
NTNX.US,Nutanix Inc,Nutanix,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
NTSK.US,"Netskope, Inc. Class A Common Stock",Netskope,US,Common Stock,2026-06-10,EODHD search
NVDA.US,NVIDIA Corporation,NVIDIA,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
NVTS.US,Navitas Semiconductor Corp,Navitas,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
NXPI.US,NXP Semiconductors NV,NXP,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
OKTA.US,Okta Inc,Okta,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
ON.US,ON Semiconductor Corporation,onsemi,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
ONTO.US,Onto Innovation Inc,Onto Innovation,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
OUST.US,"Ouster, Inc. Common Stock",Ouster,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
PANW.US,Palo Alto Networks Inc,Palo,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
PATH.US,Uipath Inc,UiPath,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
PAYC.US,"Paycom Software, Inc.",Paycom,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
PD.US,Pagerduty Inc,PagerDuty,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
PKE.US,Park Aerospace Corp.,Park Aerospace,US,Common Stock,2026-06-21,yfinance longName verify 2026-06-21
PL.US,Planet Labs,行星实验室,NYSE,Aerospace & Defense,2026-06-12,eodhd+web
PLTR.US,Palantir Technologies Inc.,Palantir,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
POWI.US,Power Integrations Inc,Power Integrations,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
QCOM.US,Qualcomm Incorporated,Qualcomm,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
QLYS.US,Qualys Inc,Qualys,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
QRVO.US,Qorvo Inc,Qorvo,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
RBRK.US,"Rubrik, Inc.",Rubrik,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
RDW.US,Redwire Corp,Redwire,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
RDWR.US,Radware Ltd,Radware,US,Common Stock,2026-06-10,EODHD search
RKLB.US,Rocket Lab USA Inc.,Rocket Lab,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
ROG.US,Rogers Corporation,Rogers,US,Common Stock,2026-06-21,yfinance longName verify 2026-06-21
ROK.US,Rockwell Automation Inc,Rockwell,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
ROP.US,Roper Technologies Inc,Roper,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
RPD.US,Rapid7 Inc,Rapid7,US,Common Stock,2026-06-10,EODHD search
RSW.LSE,Renishaw PLC,Renishaw,LSE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
S.US,SentinelOne Inc,SentinelOne,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
SAIL.US,"SailPoint, Inc. Common Stock",SailPoint,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
SIMO.US,Silicon Motion Technology,Silicon Motion,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
SIVE.ST,Sivers IMA Holding AB,Sivers Semiconductors,ST,Common Stock,2026-06-05,EODHD init batch 2026-06-05
SKYT.US,SkyWater Technology,SkyWater晶圆代工,NASDAQ,Semiconductors,2026-06-12,eodhd+web
SNOW.US,Snowflake Inc.,Snowflake,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
SNPS.US,Synopsys Inc,Synopsys,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
SOI.PA,Soitec SA,Soitec,LSE,Common Stock,2026-06-05,manual fix 2026-06-16 (init 误配 Schroder Oriental)
SOUN.US,SoundHound AI Inc,SoundHound,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
SPCX.US,SpaceX Corp,太空探索技术公司SpaceX,NASDAQ,Aerospace & Defense,2026-06-13,web(2026-06-12 IPO)
STM.US,STMicroelectronics NV ADR,STMicroelectronics,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
SWKS.US,Skyworks Solutions Inc,Skyworks,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
SYK.US,Stryker Corporation,Stryker,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
SYM.US,Symbotic Inc,Symbotic,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
SYNA.US,Synaptics Incorporated,Synaptics,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
TDY.US,Teledyne Technologies,特励达,NYSE,Aerospace & Defense,2026-06-12,eodhd+web
TEAM.US,Atlassian Corp Plc,Atlassian,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
TENB.US,Tenable Holdings Inc,Tenable,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
TER.US,Teradyne Inc,Teradyne,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
TRMB.US,Trimble Inc,Trimble,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
TSEM.US,Tower Semiconductor Ltd,Tower Semi,TA,Common Stock,2026-06-05,EODHD init batch 2026-06-05
TSLA.US,Tesla Inc,Tesla,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
TSM.US,Taiwan Semiconductor Manufacturing,台积电 TSMC,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
TTDKY.US,TDK Corp ADR,TDK,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
TTMI.US,"TTM Technologies, Inc.",TTM Technologies,US,Common Stock,2026-06-21,yfinance longName verify 2026-06-21
TWLO.US,Twilio Inc,Twilio,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
VICR.US,Vicor Corporation,Vicor,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
VNP.TO,5N Plus Inc.,5N Plus,TO,Common Stock,2026-06-05,EODHD init batch 2026-06-05
VOYG.US,Voyager Technologies,旅行者技术,NYSE,Aerospace & Defense,2026-06-12,eodhd+web
VRNS.US,Varonis Systems,Varonis,US,Common Stock,2026-06-10,EODHD search
VRT.US,Vertiv Holdings Co,Vertiv,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
VSH.US,Vinh Son Song Hinh Hydropower JSC,Vishay,VN,Common Stock,2026-06-05,EODHD init batch 2026-06-05
WDAY.US,Workday Inc,Workday,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
WOLF.US,Wolfspeed Inc,Wolfspeed SiC,V,Common Stock,2026-06-05,manual fix 2026-06-05 (init 错配 Grey Wolf Animal Health; 注意 Wolfspeed 2025 Ch11 重组 NEEDS-VERIFY)
XFAB.PA,X Fab Silicon Foundries EV,X-FAB,PA,Common Stock,2026-06-05,EODHD init batch 2026-06-05
XPEV.US,Xpeng Inc,小鹏汽车,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
ZETA.US,Zeta Global Holdings Corp,Zeta,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
ZI.US,ZIGUP plc,ZoomInfo,LSE,Common Stock,2026-06-05,EODHD init batch 2026-06-05
ZM.US,Zoom Video Communications Inc,Zoom,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
ZS.US,Zscaler Inc,Zscaler,US,Common Stock,2026-06-05,EODHD init batch 2026-06-05
